代码,名称,板块,行业,6个月涨幅%,1个月涨幅%,当前价格,MA20,成交量倍数,趋势,第一支撑位,第二支撑位,第三支撑位,操作建议
688048.SH,长光华芯,科技,半导体,370.74,99.99,328.01,239.1,1.1,多头趋势，走势偏强,218.8,204.6,182.01,不建议追涨，等待回调至218.80附近支撑位再考虑介入
688530.SH,欧莱新材,科技,半导体,112.42,19.89,35.75,30.37,1.31,超强多头趋势，上涨动能充足,30.5,28.0,27.66,当前涨幅较大，价格距离最近支撑位(30.50)已有17.2%涨幅，追涨风险较高，建议等待回踩支撑位后介入
301369.SZ,联动科技,科技,半导体,93.87,12.39,168.88,142.78,1.76,强劲多头趋势，趋势延续性好,153.28,132.66,130.1,当前涨幅较大，价格距离最近支撑位(153.28)已有10.2%涨幅，追涨风险较高，建议等待回踩支撑位后介入
300736.SZ,百邦科技,科技,通信设备,90.04,10.91,24.61,20.79,1.52,强劲多头趋势，趋势延续性好,19.8,19.51,18.92,当前涨幅较大，价格距离最近支撑位(19.80)已有24.3%涨幅，追涨风险较高，建议等待回踩支撑位后介入
300301.SZ,ST长方,科技,半导体,85.78,22.12,3.92,3.44,1.57,强劲多头趋势，趋势延续性好,3.07,3.06,2.98,当前涨幅较大，价格距离最近支撑位(3.07)已有27.7%涨幅，追涨风险较高，建议等待回踩支撑位后介入
688809.SH,强一股份,科技,半导体,84.51,16.19,417.0,340.3,1.58,强劲多头趋势，趋势延续性好,341.0,330.28,330.0,当前涨幅较大，价格距离最近支撑位(341.00)已有22.3%涨幅，追涨风险较高，建议等待回踩支撑位后介入
300502.SZ,新易盛,科技,通信设备,78.9,36.69,589.0,483.98,1.02,多头趋势，走势偏强,490.02,441.19,438.0,不建议追涨，等待回调至490.02附近支撑位再考虑介入
002990.SZ,盛视科技,科技,软件服务,78.08,77.71,50.95,33.38,2.43,强劲多头趋势，趋势延续性好,29.88,29.56,28.98,当前涨幅较大，价格距离最近支撑位(29.88)已有70.5%涨幅，追涨风险较高，建议等待回踩支撑位后介入
688720.SH,艾森股份,科技,半导体,67.19,14.22,77.61,69.62,1.16,强劲多头趋势，趋势延续性好,73.72,72.84,70.88,趋势强劲，可轻仓追涨，止损设置在73.72支撑位下方
688331.SH,荣昌生物,医药,生物制药,58.85,21.69,150.11,135.0,1.12,强劲多头趋势，趋势延续性好,133.58,132.15,114.07,当前涨幅较大，价格距离最近支撑位(133.58)已有12.4%涨幅，追涨风险较高，建议等待回踩支撑位后介入
688163.SH,赛伦生物,医药,生物制药,53.95,47.7,35.3,28.13,1.64,强劲多头趋势，趋势延续性好,24.85,24.02,23.77,当前涨幅较大，价格距离最近支撑位(24.85)已有42.1%涨幅，追涨风险较高，建议等待回踩支撑位后介入
688282.SH,理工导航,科技,通信设备,53.08,24.22,90.01,72.44,1.86,强劲多头趋势，趋势延续性好,77.84,76.49,74.01,当前涨幅较大，价格距离最近支撑位(77.84)已有15.6%涨幅，追涨风险较高，建议等待回踩支撑位后介入
000078.SZ,海王生物,医药,医药商业,51.41,17.45,3.77,3.45,1.93,强劲多头趋势，趋势延续性好,3.6,3.47,3.47,趋势强劲，可轻仓追涨，止损设置在3.60支撑位下方
